query_id,answer
1,4234 4308 4396 1951 4219 1899 4361 1909 4384 4328
2,2646 4234 1966 4400 3843 4384 4009 4219 4308 4286
3,4234 1909 4400 4328 4308 4219 4396 1907 4387 4286
4,4234 2646 1966 2865 4400 4219 4214 3149 4384 2698
5,4214 1951 2698 4308 4219 4234 2646 4286 2665 4328
6,4361 2032 3750 2214 3016 4309 4520 4312 4523 4234
7,4219 2865 4400 4384 1966 4361 4234 4308 2646 4387
8,1951 4214 2698 4234 2646 4308 4286 4219 4396 4532
9,4214 4451 2698 4445 2405 4209 4227 4276 4290 3995
10,4219 4400 1966 4234 2646 4384 4403 4361 2865 1909
11,4219 2646 4400 1966 2865 4384 4361 4403 4387 4234
12,4219 2865 4400 4384 1966 2646 4387 4440 4234 4361
13,4219 1966 2646 4440 2865 4384 4400 4387 4389 4403
14,2962 4397 2646 4451 4219 4440 4396 1907 3400 4227
15,4361 4219 2037 4384 1966 4234 2943 2646 4406 2865
16,4219 4440 2646 4384 4389 4387 1958 4361 2865 4395
17,1951 4214 4234 2698 4532 4328 4308 4286 3467 4219
18,4219 2646 4234 4308 4403 4400 4361 4387 4328 1909
19,1951 2646 4214 2698 4308 4234 4219 2665 4384 4395
20,4219 1966 4400 2865 4384 2646 4387 2696 4234 2831
21,4214 2698 4451 2646 4361 1951 2665 4219 4308 4395
22,4234 4451 4440 3889 4445 4246 1901 4214 2698 3862
23,4286 4328 4234 1951 4396 4214 4308 2171 3467 1907
24,4219 4440 2646 4389 4384 2865 1966 1958 4387 4395
25,4214 2698 4451 1951 4234 4286 4395 2665 4308 3478
26,4440 4219 4361 4389 2646 2865 4234 4364 1951 4394
27,4219 4384 2646 2865 1966 4440 4387 4400 4389 4395
28,4219 4400 1909 4234 2865 2646 4387 4361 4308 4403
29,4219 2646 1966 4361 2865 4400 4384 4234 2696 4403
30,1951 4219 2646 4308 4286 4234 4214 4384 3467 4320
31,4400 4234 4361 4219 4387 2646 1909 4308 4403 4214
32,2962 4384 4397 4234 2646 3736 1951 2665 4206 4214
33,4219 1966 2646 4384 4440 4400 2865 4387 2696 4389
34,4219 2865 4400 2646 1966 4384 4361 4387 4308 2696
35,4396 4286 4234 1907 4308 4403 1909 4328 1951 4214
